timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
20913206,20912909,0.999987,-0.0014676114,0.0010663974,-0.0047680065,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
20961072,20960777,0.99998736,-0.0012001802,0.0005108438,-0.0048541883,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
21009963,21009664,0.9999864,-0.00060362334,0.00034650278,-0.0051775416,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
21065843,21065544,0.99998707,-0.001665731,0.00043990792,-0.0047966936,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
21113117,21112832,0.99998486,-0.0010539561,0.0004912821,-0.005371804,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
21160965,21160676,0.9999914,-0.0007179643,0.00080766954,-0.0039985203,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
21213827,21213533,0.9999918,-0.00072299945,0.00025900907,-0.0039768596,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
21261797,21261503,0.9999966,-4.4085446e-05,-8.6133594e-05,-0.002607238,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
21313518,21313231,0.9999979,0.00055515283,-0.0010541286,-0.0016990742,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
21361524,21361236,0.9999957,0.0005820933,-0.0012658262,-0.002606268,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
21413205,21412919,0.9999926,0.0015294447,-0.0018351208,-0.0030341605,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
21465044,21464752,0.9999924,0.001765605,-0.0018225006,-0.0029852195,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
21513433,21513143,0.9999926,0.0017710897,-0.0019175569,-0.0028282453,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
21565339,21565052,0.9999911,0.0011277238,-0.0024120936,-0.003275035,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
21613692,21613397,0.9999901,0.0005867265,-0.0029329618,-0.0033019877,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
21661649,21661354,0.99999046,0.00049975107,-0.002543374,-0.003507328,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
21712951,21712665,0.9999892,-0.0001162278,-0.0030116225,-0.0035318998,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
21765833,21765539,0.99998474,-0.0004719544,-0.003727653,-0.0040548737,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
21813708,21813357,0.9999805,-0.001544686,-0.0041988697,-0.0043558506,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
21861793,21861495,0.99997985,-0.0017178537,-0.0046349247,-0.003986166,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
