timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
17417335,17416734,0,nan,nan,0.10112605,0.047007304,1.1390146,0.0,0.0,0.0,0.12577216,0.06901254,-0.11474116,0.12583087,0.0016646442,-0.0008497321,0.0,0.11284696,0.05741013,0.18544044,-0.0019828393,-0.10414876,nan,0.17008638,0.4053292,0.71834296,0.4163823,0.31537384,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
17521354,17520683,0,nan,nan,0.092567526,0.041570723,1.1520123,0.0,0.0,0.0,0.116708696,0.06385551,-0.12594058,0.106896736,0.0016646442,-0.0008497321,0.0,-0.17322558,0.22237976,0.05305588,-0.0008742456,-0.10414876,nan,0.1,0.44573483,0.7031463,0.4357897,0.30804518,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
17621940,17621321,0,nan,nan,0.08786281,0.039020743,1.1296986,0.0,0.0,0.0,0.10422302,0.057241447,-0.13906825,0.057988312,0.0016646442,-0.0008497321,0.0,-0.2792954,0.12199748,-0.22902878,-0.0023040862,-0.10414876,nan,0.1,0.4020022,0.71454346,0.39241046,0.30925938,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
17717730,17717125,0,nan,nan,0.079874314,0.03543967,1.1096672,0.0,0.0,0.0,0.08096195,0.05849171,-0.14579344,0.022437017,0.0016646442,-0.0008497321,0.0,-0.05798546,-0.008281713,0.22412345,-0.0006759022,-0.10414876,nan,0.1,0.43654737,0.71131253,0.40849185,0.30595082,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
17821327,17820717,17780904,40.154030399999996,116.25936779999999,0.0013281854,-0.007849839,1.0989592,-0.06964624,-0.04098093,0.0,-0.044927955,0.009355149,0.07157679,0.21613584,-0.11193452,-0.047630668,0.22411458,-0.001091138,0.46735612,-0.48809436,-0.003232068,-0.10414876,50.7006,0.10760796,0.36389464,0.70058274,0.2718451,0.21863025,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
17921179,17920554,17780904,40.154030399999996,116.25936779999999,-0.0129711535,-0.010812064,1.1231712,-0.06964624,-0.04098093,0.0,-0.05025033,0.012889212,0.06651352,0.20590366,-0.11193452,-0.047630668,0.22411458,0.1840767,0.1546346,-0.20429224,-0.004787732,-0.10414876,50.7006,0.120137095,0.32445973,0.6746773,0.23010555,0.19697025,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
18021865,18021233,17780904,40.154030399999996,116.25936779999999,-0.024019474,-0.011969186,1.1384702,-0.06964624,-0.04098093,0.0,-0.05539595,0.012817583,0.06870896,0.19513693,-0.11193452,-0.047630668,0.22411458,0.03154022,-0.24581094,-0.15258637,-0.005667759,-0.10414876,50.7006,0.10439336,0.29639757,0.6519391,0.20498407,0.1808935,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
18121354,18120734,17780904,40.154030399999996,116.25936779999999,-0.03386651,-0.011738072,1.1527612,-0.06964624,-0.04098093,0.0,-0.057845924,0.01601215,0.057290036,0.17379822,-0.11193452,-0.047630668,0.22411458,-0.07577167,0.06667255,0.40886724,-0.005245262,-0.10414876,50.7006,0.1,0.27518722,0.6316537,0.1883856,0.16838138,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
18222084,18221466,17780904,40.154030399999996,116.25936779999999,-0.04178748,-0.007471067,1.1668521,-0.06964624,-0.04098093,0.0,-0.057068113,0.027399935,0.04379529,0.15291078,-0.11193452,-0.047630668,0.22411458,-0.02724105,0.18626738,-0.004535223,-0.0060991948,-0.10414876,50.7006,0.109065056,0.25890777,0.6136576,0.17873266,0.15843654,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
18321340,18320608,17780904,40.154030399999996,116.25936779999999,-0.045064487,-0.0017730054,1.1731392,-0.06964624,-0.04098093,0.0,-0.053885773,0.034017663,0.031537253,0.13135447,-0.11193452,-0.047630668,0.22411458,-0.06905756,-0.102748334,-0.31946617,-0.0047987206,-0.10414876,50.7006,0.1,0.24519168,0.5968462,0.17100415,0.15010567,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
